弥猴桃,http://www.baike.com/wiki/%E5%BC%A5%E7%8C%B4%E6%A1%83
杏梅,http://www.baike.com/wiki/%E6%9D%8F%E6%A2%85
美丽异木棉,http://www.baike.com/wiki/%E7%BE%8E%E4%B8%BD%E5%BC%82%E6%9C%A8%E6%A3%89
茴香菖蒲,http://www.baike.com/wiki/%E8%8C%B4%E9%A6%99%E8%8F%96%E8%92%B2
水蜡,http://www.baike.com/wiki/%E6%B0%B4%E8%9C%A1
刺桐,http://www.baike.com/wiki/%E5%88%BA%E6%A1%90
向日葵属,http://www.baike.com/wiki/%E5%90%91%E6%97%A5%E8%91%B5%E5%B1%9E
阳桃,http://www.baike.com/wiki/%E9%98%B3%E6%A1%83
葵百合,http://www.baike.com/wiki/%E8%91%B5%E7%99%BE%E5%90%88
楝叶吴萸,http://www.baike.com/wiki/%E6%A5%9D%E5%8F%B6%E5%90%B4%E8%90%B8
腺绒杜鹃,http://www.baike.com/wiki/%E8%85%BA%E7%BB%92%E6%9D%9C%E9%B9%83
圆冠榆,http://www.baike.com/wiki/%E5%9C%86%E5%86%A0%E6%A6%86
墨西哥落羽杉,http://www.baike.com/wiki/%E5%A2%A8%E8%A5%BF%E5%93%A5%E8%90%BD%E7%BE%BD%E6%9D%89
防己,http://www.baike.com/wiki/%E9%98%B2%E5%B7%B1
豆科,http://www.baike.com/wiki/%E8%B1%86%E7%A7%91
膜质,http://www.baike.com/wiki/%E8%86%9C%E8%B4%A8
千屈菜科,http://www.baike.com/wiki/%E5%8D%83%E5%B1%88%E8%8F%9C%E7%A7%91
毛蜂斗草,http://www.baike.com/wiki/%E6%AF%9B%E8%9C%82%E6%96%97%E8%8D%89
有机棉,http://www.baike.com/wiki/%E6%9C%89%E6%9C%BA%E6%A3%89
薏仁米,http://www.baike.com/wiki/%E8%96%8F%E4%BB%81%E7%B1%B3
梧桐科,http://www.baike.com/wiki/%E6%A2%A7%E6%A1%90%E7%A7%91
黄心龙舌兰,http://www.baike.com/wiki/%E9%BB%84%E5%BF%83%E9%BE%99%E8%88%8C%E5%85%B0
圆穗蓼,http://www.baike.com/wiki/%E5%9C%86%E7%A9%97%E8%93%BC
盾叶半夏,http://www.baike.com/wiki/%E7%9B%BE%E5%8F%B6%E5%8D%8A%E5%A4%8F
桂花[中国木犀属众多树木的习称],http://www.baike.com/wiki/%E6%A1%82%E8%8A%B1%5B%E4%B8%AD%E5%9B%BD%E6%9C%A8%E7%8A%80%E5%B1%9E%E4%BC%97%E5%A4%9A%E6%A0%91%E6%9C%A8%E7%9A%84%E4%B9%A0%E7%A7%B0%5D
琴叶珊瑚,http://www.baike.com/wiki/%E7%90%B4%E5%8F%B6%E7%8F%8A%E7%91%9A
光蕊杜鹃,http://www.baike.com/wiki/%E5%85%89%E8%95%8A%E6%9D%9C%E9%B9%83
旱生无心菜,http://www.baike.com/wiki/%E6%97%B1%E7%94%9F%E6%97%A0%E5%BF%83%E8%8F%9C
兰草,http://www.baike.com/wiki/%E5%85%B0%E8%8D%89
光叶藤蕨属,http://www.baike.com/wiki/%E5%85%89%E5%8F%B6%E8%97%A4%E8%95%A8%E5%B1%9E
中华尖头藻,http://www.baike.com/wiki/%E4%B8%AD%E5%8D%8E%E5%B0%96%E5%A4%B4%E8%97%BB
异萼柿,http://www.baike.com/wiki/%E5%BC%82%E8%90%BC%E6%9F%BF
蒌叶,http://www.baike.com/wiki/%E8%92%8C%E5%8F%B6
细辛─北细辛,http://www.baike.com/wiki/%E7%BB%86%E8%BE%9B%E2%94%80%E5%8C%97%E7%BB%86%E8%BE%9B
条纹十二卷,http://www.baike.com/wiki/%E6%9D%A1%E7%BA%B9%E5%8D%81%E4%BA%8C%E5%8D%B7
欧洲苕子,http://www.baike.com/wiki/%E6%AC%A7%E6%B4%B2%E8%8B%95%E5%AD%90
鱼木属,http://www.baike.com/wiki/%E9%B1%BC%E6%9C%A8%E5%B1%9E
黑茶藨子,http://www.baike.com/wiki/%E9%BB%91%E8%8C%B6%E8%97%A8%E5%AD%90
罂粟科,http://www.baike.com/wiki/%E7%BD%82%E7%B2%9F%E7%A7%91
分叉脉序,http://www.baike.com/wiki/%E5%88%86%E5%8F%89%E8%84%89%E5%BA%8F
南鹿角藤,http://www.baike.com/wiki/%E5%8D%97%E9%B9%BF%E8%A7%92%E8%97%A4
岩黄耆族,http://www.baike.com/wiki/%E5%B2%A9%E9%BB%84%E8%80%86%E6%97%8F
白桦茸,http://www.baike.com/wiki/%E7%99%BD%E6%A1%A6%E8%8C%B8
板凳果,http://www.baike.com/wiki/%E6%9D%BF%E5%87%B3%E6%9E%9C
野艾蒿,http://www.baike.com/wiki/%E9%87%8E%E8%89%BE%E8%92%BF
小距凤仙花,http://www.baike.com/wiki/%E5%B0%8F%E8%B7%9D%E5%87%A4%E4%BB%99%E8%8A%B1
欧洲耳蕨,http://www.baike.com/wiki/%E6%AC%A7%E6%B4%B2%E8%80%B3%E8%95%A8
芒硝,http://www.baike.com/wiki/%E8%8A%92%E7%A1%9D
藠头,http://www.baike.com/wiki/%E8%97%A0%E5%A4%B4
昆栏树,http://www.baike.com/wiki/%E6%98%86%E6%A0%8F%E6%A0%91
腊梅,http://www.baike.com/wiki/%E8%85%8A%E6%A2%85
山香圆属,http://www.baike.com/wiki/%E5%B1%B1%E9%A6%99%E5%9C%86%E5%B1%9E
版纳玉凤花,http://www.baike.com/wiki/%E7%89%88%E7%BA%B3%E7%8E%89%E5%87%A4%E8%8A%B1
库车蓼,http://www.baike.com/wiki/%E5%BA%93%E8%BD%A6%E8%93%BC
