"00059a79db8982df0e75498e5b0b44bc","宁豇3号","宁豇3号是以之豇28-2和白豇2号的优良单株为亲本，经杂交系选育而成，是继宁豇1号、宁豇2号之后育成的又一个高产、优质、抗病豇豆新品种，现已通过江苏省农作物品种审定委员会审定。"
"0006dc509671d4cf93940b5b1d0e67b3","优果网","优果网由上海汇果电子科技有限公司投资，于2007年正式上线运营，是国内最早从事水果直销的电子商务网站之一。"
"000bcacb826926c549e97d53ca7549d8","水毛花","水毛花，中药名。为莎草科植物水毛花Schoenoplectus mucronatus（L．）Palla的全草。除新疆、西藏外，广布于全国各地。具有清热解表，宣肺止咳之功效。用于感冒发热，咳嗽。"
"002297976c75d9fadb0a42839d8763a4","地面气温","地面气温主要取决于地面辐射，地面辐射（或地的温度）取决于太阳辐射。"
"0022bdc5377c078bc5c6d4335d7110a1","协优9308","协优9308是中国水稻研究所育成的籼粳亚种间三系杂交组合。其特点为单株有效穗12-15个，株高120-135cm，茎秆坚韧，叶片挺立、微内卷，剑叶，穗长26-28cm，着粒密度中等，青秆黄熟不早衰。产量优势主要表现为穗大粒多结实率高。一般平均每穗总粒数均可达170－190粒，每穗实粒数可达150－170粒，平均结实率最高可达90％左右，千粒重作单晚为28克，连晚为27克左右，平均单穗重达4.0克。该品种的糙米率、精米率、整精米率、碱消值、直链淀粉含量5项指标达优质米一级标准，粒型、胶稠度3项指标达优质米二级标准。"
"00265fc68104e184fa55412b3018ea4f","菜苔","菜苔（学名：Brassica parachinensis L. H. Bailey ）是十字花科，芸苔属一年或二年生草本植物，高可达50厘米，全体无毛；叶片长椭圆形或宽卵形，顶端圆形，叶柄白色或绿色，总状花序顶生，呈圆锥状，花浅黄色，种子球形，紫褐色，有蜂窝纹，花期4月，果期5月。中国各地栽培。长日照植物但多数品种对光照长短、要求不严格，其生长发育主要受温度的影响，其中种子发芽及幼苗生长的适温下都都能正常生长。菜苔作蔬菜食用。主食部分为花苔， 品质柔嫩。风味佳，是著名的特种蔬菜。（概述图参考来源： ）"
"002bc1cb8994df59f363e307674ba37f","三蕊柳组","三蕊柳组是杨柳科柳属的其中一个组，乔木或灌木。小枝柔软，老枝皮片状剥落。叶披针形，急尖或渐尖，两面无毛，本组中国产3种，2变种。"
"002f236294dff4534c7ce8c034044b7b","华冠苹果","华冠苹果在山西和河南两省的生产试验，三年结果，四年生亩产1296公斤。品种审定编号国审果2002006；中国农科院郑州果树研究所选育，金冠×富士1976年杂交而成，1994年河南省农作物品种审定委员会审定，1999年山西省农作物品种审定委员会审定。"
"0036ef92d279a7b5cdf86f3e2088366b","黑藻","黑藻俗称温丝草、灯笼薇、转转薇等，属水鳖科、黑藻属单子叶多年生沉水植物。茎直立细长，长50-80厘米，叶带状披针形，4-8片轮生，通常以4-6片为多，长1.5厘米左右，宽约1.5-2cm。叶缘具小锯齿，叶无柄。广布于池塘、湖泊和水沟中。在中国南北各省及欧、亚、非和大洋洲等广大地区均有分布。"
"003b83a6bf2b22507e99130dc4afab34","无患子目","无患子目，被子植物门、双子叶植物纲、原始花被亚纲下的一个目，该目多为木本，共有含15科，约500属，约6200种。多分布于热带及亚热带，许多种分布于海拔2000米以下的雨林中。中国共有15科。物种的花序多为辐射对称轮状排列是该目的主要特征。"
